rice_lat,rice_lon
38.94157567,-121.6031952
38.92898307,-121.501781
39.08002903,-121.4855987
38.9512807,-121.5186038
39.02141548,-121.7102953
39.13046977,-121.479459
39.20243293,-121.5558897
38.99655282,-121.4985958
38.85394983,-121.5615483
39.06867606,-121.4553863
38.94334729,-121.4081302
39.09424609,-121.5203144
39.17964306,-121.5485688
39.11342832,-121.5002301
38.98174249,-121.5300098
39.10889965,-121.4614346
38.92951723,-121.4732852
39.0454576,-121.4992171
39.05381322,-121.4560734
39.01122667,-121.5056339
38.94647462,-121.4528575
38.94367092,-121.4346614
39.06920917,-121.4608795
39.03532454,-121.5393859
38.99407026,-121.7422243
39.05381322,-121.5250812
38.92871599,-121.510879
38.96523999,-121.4649501
38.9796827,-121.7768999
38.9685767,-121.4654651
39.0173621,-121.4666667
38.93489955,-121.6196747
39.03279104,-121.4896041
39.14170609,-121.5019467
39.04464459,-121.7070252
39.0173621,-121.4666667
39.17964306,-121.5485688
39.01402769,-121.4761081
39.08002903,-121.4855987
38.8560586,-121.6439012
39.12807285,-121.4798023
39.09504545,-121.5271809
38.89159817,-121.5178979
39.05074715,-121.5202747
39.0373246,-121.4774161
39.10556956,-121.5196278
38.88010677,-121.4936936
38.92951723,-121.4732852
39.02545674,-121.4911491
39.18882406,-121.5808412
39.01359544,-121.362125
38.98107529,-121.5277782
38.93178735,-121.4653888
39.14165428,-121.4907887
38.92951723,-121.4732852
39.10743443,-121.5391972
38.93619385,-121.490108
39.05941178,-121.5261112
38.92070313,-121.5125957
39.05407983,-121.531261
38.95355013,-121.4211001
39.12607536,-121.4725926
39.01359544,-121.362125
38.81187527,-121.5767816
38.90783932,-121.4393842
39.14503645,-121.4787724
38.9425615,-121.4261663
38.94834369,-121.5021243
38.91829909,-121.4997211
39.20389618,-121.5526281
39.08261733,-121.721893
38.9567539,-121.4596286
39.12088666,-121.5005734
38.96724203,-121.4285579
39.05941178,-121.5261112
39.00028827,-121.532413
38.90375565,-121.4720643
38.83501198,-121.5862675
38.92283998,-121.4919963
38.84517371,-121.605322
39.13046977,-121.479459
39.01968171,-121.752524
39.02772379,-121.5323478
39.0173621,-121.4666667
39.10956565,-121.4768841
38.92965077,-121.5366283
39.04464459,-121.7070252
38.8560586,-121.6439012
38.87462766,-121.5283692
39.12474871,-121.4882138
38.90783932,-121.4393842
39.0925141,-121.4743092
39.03781755,-121.6945024
38.84940454,-121.560175
38.85394983,-121.5615483
38.97626079,-121.5316985
39.07307405,-121.4847404
39.17418712,-121.5532037
39.22225063,-121.5728842
39.10157325,-121.5441754
39.05128039,-121.5307461
39.05607936,-121.5273128
39.14303944,-121.4849522
39.12088162,-121.4664128
38.99842057,-121.5178218
38.936995,-121.5325084
39.06127787,-121.4483486
38.92070313,-121.5125957
39.216665,-121.5739141
39.14264003,-121.478944
39.09038237,-121.4410069
38.97992033,-121.4180866
39.10583598,-121.4844372
39.216665,-121.5739141
39.10556956,-121.5196278
39.12088162,-121.4664128
39.11622025,-121.4813473
38.91402504,-121.513969
39.02732372,-121.4169913
39.10183968,-121.4640095
38.99467459,-121.4980528
38.96512181,-121.4368093
38.97626079,-121.5316985
38.9796827,-121.7768999
38.93859728,-121.5083041
39.09611125,-121.535764
39.09850926,-121.4818623
38.99962124,-121.5262332
38.82431386,-121.5955373
38.87737207,-121.6325716
38.8714918,-121.6356615
38.91096899,-121.4931786
39.1403747,-121.4986851
39.01758818,-121.4975005
39.19804302,-121.5388952
39.08718464,-121.4746525
38.93489955,-121.6196747
38.87957224,-121.5129197
38.96977787,-121.4005771
38.92965077,-121.5366283
38.99842057,-121.5178218
38.92925015,-121.5192905
39.18363495,-121.5576669
39.12461554,-121.500745
39.22304854,-121.555718
38.92070313,-121.5125957
39.10903285,-121.5313008
39.04464459,-121.7070252
39.08944971,-121.5311291
38.83501198,-121.5862675
39.05194693,-121.5249096
38.87994944,-121.4725786
39.10024109,-121.5313008
39.06660929,-121.4488636
39.09850926,-121.4818623
39.13845889,-121.4923336
39.0464811,-121.520618
39.02639024,-121.5337211
38.88079137,-121.6239885
38.89464744,-121.5084558
38.96238047,-121.695034
39.17392097,-121.5691682
38.9001487,-121.5328324
38.83884229,-121.4997502
38.97992033,-121.4180866
38.8714918,-121.6356615
39.17565095,-121.5588685
39.22012282,-121.5509115
38.91003397,-121.480819
39.02732372,-121.4169913
39.1457021,-121.4715626
39.07687112,-121.4552151
38.83416231,-121.5045567
39.20735463,-121.5356337
38.99407026,-121.7422243
39.07947062,-121.4498931
38.96238047,-121.695034
38.95910004,-121.4398876
38.99467459,-121.4980528
39.01122667,-121.5056339
39.1218189,-121.4947369
39.08718464,-121.4746525
38.936995,-121.4992061
38.90589301,-121.4461434
39.13473074,-121.4835789
39.22012282,-121.5509115
38.8714918,-121.6356615
38.84940454,-121.560175
39.1170244,-121.5004017
39.08148466,-121.6935689
38.95543933,-121.6946907
39.04464459,-121.7070252
38.92283998,-121.4919963
39.20043755,-121.5740858
38.94487252,-121.4286533
39.09797637,-121.4727642
39.0199974,-121.349422
39.08148466,-121.6935689
39.09397963,-121.4461567
39.07687112,-121.4552151
38.85435087,-121.4935704
38.89280065,-121.4780724
39.03534579,-121.7037636
38.96667224,-121.6785545
39.05541286,-121.5173565
38.9567539,-121.4596286
39.13446444,-121.4981701
38.91829909,-121.4997211
38.93619385,-121.490108
39.02503517,-121.4194319
39.05128039,-121.5307461
39.05607936,-121.5233646
38.95650725,-121.7031021
38.96003441,-121.4170566
38.95355013,-121.4211001
39.17964306,-121.5485688
39.09770993,-121.4346554
39.12434416,-121.4806607
38.99467459,-121.4980528
39.12607536,-121.4725926
38.9224803,-121.6134949
38.92925015,-121.5192905
39.1457021,-121.4715626
39.04701437,-121.5259395
39.14250689,-121.4782574
39.19990544,-121.5495382
39.00282293,-121.5282932
38.92283998,-121.5586009
38.93619385,-121.490108
39.05714575,-121.4613949
38.89159817,-121.5178979
38.96102537,-121.4687267
38.98174249,-121.5300098
38.95383744,-121.6692848
39.02719037,-121.4978438
38.95234868,-121.4616122
39.13046977,-121.479459
39.04464459,-121.7070252
38.88545184,-121.502105
39.10024109,-121.5313008
39.0724077,-121.464141
39.18456636,-121.5798112
39.14303944,-121.4849522
39.05941178,-121.5261112
38.83977825,-121.5050717
39.07428868,-121.7043836
39.02848351,-121.6927858
38.9837964,-121.7921777
38.9567539,-121.4596286
38.89427032,-121.5335191
39.0326577,-121.5381843
39.02545674,-121.4911491
38.84823013,-121.5198067
39.06867606,-121.4553863
39.00282293,-121.5282932
39.0485239,-121.4999038
38.88037403,-121.4787591
38.84940454,-121.560175
39.12807285,-121.4798023
38.91096899,-121.4931786
38.9001487,-121.5328324
39.10157325,-121.5441754
38.92030246,-121.4806666
39.12807285,-121.4798023
38.90783932,-121.4393842
39.05501295,-121.4073215
39.17192478,-121.5719148
38.87462766,-121.5283692
39.01541378,-121.750464
39.11342832,-121.5002301
39.12727386,-121.4876988
39.02503517,-121.4194319
39.07740416,-121.4468036
39.14258625,-121.4849522
39.09611125,-121.535764
39.02266472,-121.3456455
38.94647462,-121.4528575
39.13859203,-121.4899304
39.05381322,-121.5250812
38.95772927,-121.6208763
38.89427032,-121.5335191
38.91696348,-121.5567126
39.13446444,-121.4981701
38.82217404,-121.5136102
38.90068307,-121.5022767
39.216665,-121.5739141
38.93489955,-121.6196747
38.93619385,-121.490108
38.95688739,-121.4548221
39.02839055,-121.4744979
39.13845889,-121.4923336
38.84312086,-121.5780278
38.93178735,-121.4653888
38.80625713,-121.5934328
39.07880434,-121.4723808
39.12607536,-121.4725926
39.05367992,-121.5412174
39.0454576,-121.4992171
39.10024109,-121.5313008
38.91286391,-121.6188164
39.02839055,-121.4744979
39.12034891,-121.4816906
39.07227443,-121.443885
38.94727566,-121.5143123
39.0326577,-121.5381843
39.11143041,-121.4844372
39.10889965,-121.4614346
38.96238047,-121.695034
39.05194693,-121.5249096
38.81776047,-121.5948061
38.85705323,-121.5215233
38.85551595,-121.5784291
39.11608706,-121.4713909
38.9918728,-121.5052626
38.95570631,-121.7611683
38.84325456,-121.494772
39.00834445,-121.7166467
39.13859203,-121.4899304
39.08000365,-121.4564163
39.1353965,-121.4798023
38.90455717,-121.513263
39.06341049,-121.4044033
39.04665747,-121.4207679
39.1267412,-121.4634945
38.99268376,-121.5207401
39.11662485,-121.5062382
38.82471507,-121.5891858
39.10024109,-121.5313008
38.91337328,-121.4238274
39.09038237,-121.4410069
39.01968171,-121.752524
39.0724077,-121.464141
39.02879061,-121.4909774
38.94834369,-121.5021243
39.06487662,-121.4541851
38.92951723,-121.4938846
38.97841652,-121.6467972
39.07493978,-121.4389068
38.8680789,-121.4950669
38.97786209,-121.7235745
39.05074715,-121.5202747
39.05867632,-121.71475
39.20309805,-121.578034
38.96667224,-121.6785545
38.92697995,-121.53268
38.82760982,-121.5534802
39.04064483,-121.7224747
39.10956565,-121.4768841
39.05367992,-121.5412174
39.08261733,-121.721893
39.03279104,-121.4896041
38.84823013,-121.5198067
39.09038237,-121.4482167
39.12727386,-121.4876988
39.01402769,-121.4761081
39.02772379,-121.5323478
38.99467459,-121.4980528
39.04305779,-121.504367
39.05407983,-121.531261
38.98032066,-121.4237514
39.14863092,-121.4751675
39.10330501,-121.4411785
38.95261567,-121.501266
38.99467459,-121.4980528
39.13845889,-121.4923336
38.9685767,-121.4654651
39.01829571,-121.4886394
39.04701437,-121.5259395
39.12474871,-121.5058949
38.96667224,-121.6785545
39.10583598,-121.4844372
38.96049145,-121.4959445
38.90749599,-121.4308656
38.88079137,-121.6239885
39.06341049,-121.4044033
38.87462766,-121.5283692
39.14942967,-121.4780857
39.00834445,-121.7166467
39.14663401,-121.4755108
39.09997466,-121.5144779
39.06154445,-121.4548717
38.92995882,-121.6217346
39.01652974,-121.3545719
39.00028827,-121.532413
39.11622025,-121.4813473
39.09984144,-121.5254643
38.9235238,-121.4210809
39.09504545,-121.5271809
38.93245502,-121.4473643
39.02639024,-121.5337211
38.87596407,-121.4833939
39.13046977,-121.479459
38.96577387,-121.4709583
39.07947062,-121.4498931
39.02848351,-121.6927858
38.89894634,-121.4928353
38.96667224,-121.6785545
39.01641806,-121.5373633
39.21848777,-121.5521737
39.21147794,-121.5660177
38.84940454,-121.560175
39.17392097,-121.5691682
38.92965077,-121.5366283
38.9425615,-121.4261663
38.85047405,-121.5375157
39.01652974,-121.3545719
39.09997466,-121.5144779
39.06920917,-121.4608795
39.06207761,-121.5388141
39.10183968,-121.4640095
39.13313291,-121.5019467
39.04665747,-121.4207679
39.14490331,-121.4830639
39.0119459,-121.7104669
39.08718464,-121.4746525
39.08634823,-121.7136533
38.81093895,-121.5881113
39.17964306,-121.5485688
38.90749599,-121.4308656
38.98107529,-121.5277782
38.9512807,-121.5186038
38.93619385,-121.490108
39.07947062,-121.4498931
39.14258625,-121.4849522
39.09464577,-121.5302708
39.14863092,-121.4751675
39.05168032,-121.5343509
39.19254934,-121.5635034
39.07687112,-121.4552151
39.06567632,-121.4624248
39.14490331,-121.4830639
39.04145788,-121.4290076
39.10889965,-121.4614346
39.02292289,-121.5383559
39.01829571,-121.4886394
39.01652974,-121.3545719
38.95543933,-121.6946907
39.09424609,-121.5203144
38.83416231,-121.5045567
39.11662485,-121.5062382
38.91962706,-121.5208155
39.13473074,-121.4835789
39.12474871,-121.5058949
38.90455717,-121.513263
39.17192478,-121.5719148
39.10157325,-121.5441754
39.06947572,-121.4488632
39.02438987,-121.5138084
39.08000365,-121.4564163
38.95234868,-121.4616122
38.8624652,-121.5027917
39.09397963,-121.4461567
39.10330501,-121.4411785
39.22796879,-121.5653311
38.96577387,-121.4709583
39.11156361,-121.5390255
39.18363495,-121.5576669
39.01541378,-121.750464
39.0326577,-121.5381843
38.90749599,-121.4308656
39.00834445,-121.7166467
38.98107529,-121.5277782
39.03494578,-121.7226464
39.01758818,-121.5326911
38.97626079,-121.5316985
39.06487662,-121.5386425
38.99735329,-121.5042606
38.83977825,-121.5050717
39.11662485,-121.5062382
39.11622025,-121.4813473
39.12794473,-121.4945652
38.87623135,-121.5501702
39.05647926,-121.532291
38.91150328,-121.4396203
39.12114798,-121.4713909
39.11942169,-121.5053799
38.90749599,-121.4308656
39.12448237,-121.4940502
38.98032066,-121.4237514
38.91652146,-121.4179265
38.91455931,-121.556026
38.9188494,-121.4562714
38.95688739,-121.4548221
39.02318962,-121.5174132
38.88037403,-121.4787591
38.89464744,-121.5084558
39.10157325,-121.5441754
39.08066992,-121.4380485
39.19760476,-121.5719148
39.05021391,-121.4586483
38.96724203,-121.4285579
39.01829571,-121.4886394
39.18802576,-121.5662499
39.12727386,-121.4876988
38.95850954,-121.7429276
38.95034621,-121.4372363
38.87623135,-121.5501702
39.05194693,-121.5249096
38.88358111,-121.5501702
38.96724203,-121.4285579
